"asv_temp_id"	"blast_pass"	"accession"	"annotation"	"tax_id_species"	"pident"	"evalue"	"score"
"000b55bcf824df2e77deefe106efb06d"	TRUE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	98.187	5.45e-165	313
"003a845c548cd32a601d2b16df9aab6a"	FALSE	"NR_041722.2"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus"	1000570	80.08	6.35e-45	97
"00496998cea3c2ecf4a05ce39d64abd1"	TRUE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	98.489	1.17e-166	316
"006ea37aa6d1e8bc43f7691c7f0d0098"	FALSE	"NR_173693.1"	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella phocaeensis"	1852385	93.301	1.71e-83	166
"007717b2b8fe9c6278d6ab4c37c550f4"	FALSE	"NR_026490.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sartagoforme"	84031	92.638	1.23e-131	253
"007c5318a50049d57e493fcc419219ab"	FALSE	"NR_180797.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium porci"	2605778	96.071	2.22e-128	247
"008295a715a15d5ab5508b3637bbf138"	FALSE	"NR_118676.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium xylanophilum"	39497	96.296	3.57e-126	243
"008703bd0313c3aecbaadcbefbc4fbba"	FALSE	"NR_136424.1"	"k__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Thermohalobacteraceae;g__Caldisalinibacter;s__Caldisalinibacter kiritimatiensis"	1304284	80.695	6.31e-50	106
"00a44771a0c55c37616822410d48aab0"	FALSE	"NR_117377.1"	"k__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Tissierella;s__Tissierella creatinophila"	79681	94.207	4.31e-141	270
"00abbdff20a1db7510de5fa5d8c33769"	FALSE	"NR_179633.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Massilicoli;s__Massilicoli timonensis"	2015901	91.641	1.56e-125	242
"00bd67c6374833d81b59d7abe00bf603"	FALSE	"NR_115693.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Gracilibacteraceae;g__Gracilibacter;s__Gracilibacter thermotolerans"	694434	86.446	5.99e-100	196
"00e68c054a3fedb96f57fc6547df3dbc"	FALSE	"NR_043544.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Amorphaceae;g__Amorphus;s__Amorphus coralli"	340680	79.842	1.77e-45	98
"011c3a00a5a3f954697ffbcfc3847416"	FALSE	"NR_173694.1"	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella massiliensis"	1622075	93.871	4.11e-131	252
"01265a83309689d4815afdc6b19b5e61"	TRUE	"NR_042832.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis"	301302	97.583	1.18e-161	307
"012c4c61271fef5885f5ade101946c27"	FALSE	"NR_044490.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum"	501571	96.687	3.31e-157	299
"0143a02f9ec07cd969397e13b0ad54aa"	FALSE	"NR_179423.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas timonensis"	1689270	96.677	1.19e-156	298
"015a1febf534354fdbdd8d1a0f01eecc"	FALSE	"NR_025206.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Hespellia;s__Hespellia porcina"	180286	94.277	2.61e-143	274
"0173407a5eb79c4829e55f4132975052"	FALSE	"NR_181383.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Luoshenia;s__Luoshenia tenuis"	2763654	90.333	2.75e-108	211
"017c275584af4bb457a59cb979669c45"	FALSE	"NR_180431.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum gordoncarteri"	2530390	91.919	4.07e-116	225
