"ASVId"	"taxid"	"accession"	"species"	"query_length"	"align_length"	"nident"	"pident"	"bitscore"	"evalue"	"score"	"tax_id_species"	"taxon"	"species_short"	"name"	"length_ratio"	"pident_97"	"length_ratio_1.1"	"passed"
"000b55bcf824df2e77deefe106efb06d"	29347	"NR_028785.1"	"[Clostridium] scindens strain ATCC 35704 16S ribosomal RNA, partial sequence"	331	331	325	98.187	579	5.45e-165	313	29347	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	"[Clostridium]_scindens"	"[Clostridium]_scindens;331;98.187"	1	TRUE	TRUE	TRUE
"00496998cea3c2ecf4a05ce39d64abd1"	29347	"NR_028785.1"	"[Clostridium] scindens strain ATCC 35704 16S ribosomal RNA, partial sequence"	331	331	326	98.489	584	1.17e-166	316	29347	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	"[Clostridium]_scindens"	"[Clostridium]_scindens;331;98.489"	1	TRUE	TRUE	TRUE
"01265a83309689d4815afdc6b19b5e61"	301302	"NR_042832.1"	"Roseburia faecis strain M72/1 16S ribosomal RNA, partial sequence"	331	331	323	97.583	568	1.18e-161	307	301302	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis"	"Roseburia_faecis"	"Roseburia_faecis;331;97.583"	1	TRUE	TRUE	TRUE
"0181fdd0e0da500dca7a89d0997a6bba"	408	"NR_112231.1"	"Methylorubrum extorquens strain NCIMB 9399 16S ribosomal RNA, partial sequence"	330	330	330	100	610	1.93e-174	330	408	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylorubrum;s__Methylorubrum extorquens"	"Methylorubrum_extorquens"	"Methylorubrum_extorquens;Methylorubrum_populi;Methylorubrum_rhodesianum;Methylorubrum_thiocyanatum;Methylorubrum_zatmanii;330;100"	1	TRUE	TRUE	TRUE
"01c2c87bd7b2e37940f169a190ea0f60"	191390	"NR_029050.1"	"Pseudomonas palleroniana strain CFBP 4389 16S ribosomal RNA, partial sequence"	331	331	331	100	612	5.37e-175	331	191390	"k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas palleroniana"	"Pseudomonas_palleroniana"	"Pseudomonas_palleroniana;331;100"	1	TRUE	TRUE	TRUE
"01ebb6a09e43125166668dd7a138194a"	1629550	"NR_148815.1"	"Paraclostridium benzoelyticum strain JC272 16S ribosomal RNA, partial sequence"	329	329	329	100	608	6.91e-174	329	1629550	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Paraclostridium;s__Paraclostridium benzoelyticum"	"Paraclostridium_benzoelyticum"	"Paraclostridium_benzoelyticum;Paraclostridium_bifermentans;Paraclostridium_dentum;329;100"	1	TRUE	TRUE	TRUE
"01eef3dbad8ac2c5514aae9a90184281"	2316025	"NR_179276.1"	"Mediterraneibacter butyricigenes strain KCTC 15684 16S ribosomal RNA, partial sequence"	331	331	323	97.583	568	1.18e-161	307	2316025	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter butyricigenes"	"Mediterraneibacter_butyricigenes"	"Mediterraneibacter_butyricigenes;331;97.583"	1	TRUE	TRUE	TRUE
"020c00439697d40d7396a0fa897569b3"	661398	"NR_117294.1"	"Microbacterium radiodurans strain GIMN 1.002 16S ribosomal RNA, partial sequence"	333	333	333	100	616	4.18e-176	333	661398	"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium radiodurans"	"Microbacterium_radiodurans"	"Microbacterium_radiodurans;333;100"	1	TRUE	TRUE	TRUE
"027ada85e8c066ca5ad7aedbe0f35e04"	89772	"NR_025312.1"	"Aquamicrobium lusatiense strain S1 16S ribosomal RNA, partial sequence"	330	330	330	100	610	1.93e-174	330	89772	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Aquamicrobium;s__Aquamicrobium lusatiense"	"Aquamicrobium_lusatiense"	"Aquamicrobium_lusatiense;330;100"	1	TRUE	TRUE	TRUE
"029a1a5df217ca34df7abd11b4134e59"	528178	"NR_116162.1"	"Neorhizobium alkalisoli strain CCBAU 01393 16S ribosomal RNA, partial sequence"	330	330	329	99.697	604	8.96e-173	327	528178	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium alkalisoli"	"Neorhizobium_alkalisoli"	"Neorhizobium_alkalisoli;Neorhizobium_galegae;Neorhizobium_huautlense;Neorhizobium_vignae;Rhizobium_mongolense;Rhizobium_panacihumi;330;99.697"	1	TRUE	TRUE	TRUE
"02ad6bc2b87f45d3f5260b1961ab2cd6"	571254	"NR_042600.1"	"Brucella rhizosphaerae strain PR17 16S ribosomal RNA, partial sequence"	330	330	323	97.879	571	9.09e-163	309	571254	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella rhizosphaerae"	"Brucella_rhizosphaerae"	"Brucella_rhizosphaerae;330;97.879"	1	TRUE	TRUE	TRUE
"034c37f3467e683b50a398ff36cb1518"	1702285	"NR_179426.1"	"Intestinimonas gabonensis strain GM5 16S ribosomal RNA, partial sequence"	331	331	324	97.885	573	2.54e-163	310	1702285	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas gabonensis"	"Intestinimonas_gabonensis"	"Intestinimonas_gabonensis;331;97.885"	1	TRUE	TRUE	TRUE
"038c976f12c9a034e3a90238c2eb114d"	272914	"NR_041045.1"	"Plantibacter auratus strain IAM 14817 16S ribosomal RNA, partial sequence"	333	333	333	100	616	4.18e-176	333	272914	"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Plantibacter;s__Plantibacter auratus"	"Plantibacter_auratus"	"Plantibacter_auratus;333;100"	1	TRUE	TRUE	TRUE
