"asv_temp_id"	"blast_pass"	"accession"	"annotation"	"tax_id_species"	"pident"	"evalue"	"score"
"000b55bcf824df2e77deefe106efb06d"	TRUE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	98.187	5.45e-165	313
"0045913d355751af02153edb8cd65b78"	FALSE	"NR_179276.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter butyricigenes"	2316025	96.246	1.39e-135	260
"00496998cea3c2ecf4a05ce39d64abd1"	TRUE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	98.489	1.17e-166	316
"00549ab9ae70a7661b82c606478c010d"	TRUE	"NR_042589.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella pseudogrignonensis"	419475	99.091	1.94e-169	321
"008295a715a15d5ab5508b3637bbf138"	FALSE	"NR_118676.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium xylanophilum"	39497	96.296	3.57e-126	243
"0094350f98dc0678a8f8252edba12d77"	FALSE	"NR_144748.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Phocea;s__Phocea massiliensis"	1841867	93.333	3.38e-137	263
"00a2de03151cb32e58355313acb9c023"	TRUE	"NR_116910.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Aquamicrobium;s__Aquamicrobium aerolatum"	561088	97.879	9.09e-163	309
"00a44771a0c55c37616822410d48aab0"	FALSE	"NR_117377.1"	"k__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Tissierella;s__Tissierella creatinophila"	79681	94.207	4.31e-141	270
"00abbdff20a1db7510de5fa5d8c33769"	FALSE	"NR_179633.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Massilicoli;s__Massilicoli timonensis"	2015901	91.641	1.56e-125	242
"00bd67c6374833d81b59d7abe00bf603"	FALSE	"NR_115693.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Gracilibacteraceae;g__Gracilibacter;s__Gracilibacter thermotolerans"	694434	86.446	5.99e-100	196
"00cb39f35ed3dbf28ffe13330bb606f2"	FALSE	"NR_179276.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter butyricigenes"	2316025	84.568	1.6e-39	87
"00e68c054a3fedb96f57fc6547df3dbc"	FALSE	"NR_043544.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Amorphaceae;g__Amorphus;s__Amorphus coralli"	340680	79.842	1.77e-45	98
"00f7d71023506d6b5b312a20cbfec3a2"	TRUE	"NR_108516.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Boseaceae;g__Bosea;s__Bosea robiniae"	1036780	99.697	8.96e-173	327
"011c3a00a5a3f954697ffbcfc3847416"	FALSE	"NR_173694.1"	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella massiliensis"	1622075	93.871	4.11e-131	252
"01265a83309689d4815afdc6b19b5e61"	TRUE	"NR_042832.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis"	301302	97.583	1.18e-161	307
"012c4c61271fef5885f5ade101946c27"	FALSE	"NR_044490.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum"	501571	96.687	3.31e-157	299
"0132d25451cc244a468d6c39b3c26629"	FALSE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	99.083	5.54e-109	212
"0143a02f9ec07cd969397e13b0ad54aa"	FALSE	"NR_179423.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas timonensis"	1689270	96.677	1.19e-156	298
"015a1febf534354fdbdd8d1a0f01eecc"	FALSE	"NR_025206.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Hespellia;s__Hespellia porcina"	180286	94.277	2.61e-143	274
"016500f8f9834d4feaf7d51cd82847e7"	TRUE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	97.971	4.62e-171	324
"0173407a5eb79c4829e55f4132975052"	FALSE	"NR_181383.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Luoshenia;s__Luoshenia tenuis"	2763654	90.333	2.75e-108	211
"017c275584af4bb457a59cb979669c45"	FALSE	"NR_180431.1"	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum gordoncarteri"	2530390	91.919	4.07e-116	225
"0181fdd0e0da500dca7a89d0997a6bba"	TRUE	"NR_112231.1"	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylorubrum;s__Methylorubrum extorquens"	408	100	1.93e-174	330
"019eace093d2b41083f77f0fba8a1c5a"	FALSE	"NR_125464.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerobacterium;s__Anaerobacterium chartisolvens"	1297424	88.485	5.89e-110	214
"01a714d4e497e008c2bf764c88a8b7a3"	TRUE	"NR_119352.1"	"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__Aeromicrobium fastidiosum"	52699	99.096	1.51e-170	323
"01b179b3ae6edd58f3ee4c2950c97193"	FALSE	"NR_180822.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Bilifractor;s__Bilifractor porci"	2606636	92.664	2.12e-103	202
"01b7364fd988091c8dcb50d511a30bd8"	TRUE	"NR_104979.1"	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus araffinosus"	147809	99.699	6.97e-174	329
"01c1754f4db429a2626108280324483b"	FALSE	"NR_043680.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis"	358742	95.77	1.2e-151	289
"01c2c87bd7b2e37940f169a190ea0f60"	TRUE	"NR_029050.1"	"k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas palleroniana"	191390	100	5.37e-175	331
"01ebb6a09e43125166668dd7a138194a"	TRUE	"NR_148815.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Paraclostridium;s__Paraclostridium benzoelyticum"	1629550	100	6.91e-174	329
